Item,Model,Price,Source
CPU,Intel Xeon E5-2699 V4 2.2GHz 55MB 22 Core 9.6GT/s 145W CPU Processor SR2JS,144.99,eBay
CPU,💥💯💥AMD Ryzen Threadripper Pro 7955WX 16C 4.5GHz sTR5 CPU Locked 100-000000886,500.0,eBay
CPU,Intel 4th Gen Core i7-4790 SR1QF 3.60GHz (Turbo 4.00GHz) 8M 4-Core LGA-1150 CPU,36.99,eBay
CPU,AMD Ryzen Threadripper Pro 3945WX 12-Core 4.0GHz sWRX8 Processor - Unlocked,249.0,eBay
CPU,INTEL CORE i7-7700K 4.20GHz CPU QUAD CORE Processor SR33A *km,83.99,eBay
CPU,Intel Core i7-12700KF Unlocked Desktop Processor - 12 Cores And 20 Threads,219.99,eBay
CPU,AMD Ryzen 5 7600X R5-7600X 4.7 GHz 6-Core 12-Thr 105W Socket AM5(100-000000593),180.0,eBay
CPU,Intel Core i5-9600K 6-Core Processor (SRG11),64.0,eBay
CPU,Intel 3rd Gen Core i7-3770 SR0PK 3.40GHz (Turbo 3.90GHz) 4-Core 8M LGA-1155 CPU,36.55,eBay
CPU,LGA1366 Intel Xeon X5690 CPU Processor 3.46GHz 6 Core 6.4G 12MB 1333GHz Tested,23.87,eBay
CPU,Intel Core Ultra 5 Desktop Processor 245K - 14 cores (6 P-cores + 8 E-cores) and,328.29,eBay
CPU,Intel Xeon E5-2698v4 SR2JW 2.2GHz 20-Cores 50MB 135W LGA2011-3 CPU Processor,69.5,eBay
CPU,Intel Core 2 Duo T9300 (FF80576GG0606M) SLAYY SLAQG CPU 800/2.5 GHz,7.98,eBay
CPU,AMD Ryzen 7 5800X3D 8-core 16-thread 3.4-4.5Ghz 3-level cache 96MB CPU processor,358.0,eBay
CPU,AMD Ryzen 7 5700X3D 3.0 GHz 8-core AM4 96MB cache CPU processor,225.0,eBay
CPU,Intel Core i7-3770K 3.5GHz Quad-Core SR0PL LGA1155 CPU Processor,45.52,eBay
CPU,Intel Xeon E5-2697 v2 2.7GHz 30M 12-Core LGA2011 CPU Processor SR19H,29.99,eBay
CPU,Intel Core 2 Quad Q9000 CPU SLGEJ 2.0GHz-6M-1066MHz Socket P Laptops Processor,12.96,eBay
CPU,Intel(R) CC150 CPU 8C/16T 3.50GHz Support H310/B365/H370/Z370/Z390/Q370/C246,82.0,eBay
